Filename,x,y,w,h,W,H
37b22089ec92956459b755106eaaffd2.png,58,106,23,28,512,512
aa84b225283e6a68f85776cb5bc3a459.png,90,202,34,44,512,512
4a09f2958ee2468e6865f0756608a00d.png,426,113,49,58,512,512
51efe2f6cb280fce25c9b5dbd77c59ff.png,81,214,22,28,512,512
9a5055f25ea9f8cd9f86888105759681.png,310,73,45,49,512,512
10f7fff5a561ba3081f746797c3e732c.png,432,96,35,41,512,512
94676bd63447ce98d4694f07daafd87b.png,41,309,33,40,512,512
315e0b6a36ffdfca8bc52e72e0d6359f.png,384,326,34,44,512,512
ef45e660b271dcc2ab768d4ca0489cea.png,98,197,27,38,512,512
78aafb610a5996adc1c430656d449ba2.png,47,262,40,58,512,512
049978a8f50db7bca209f05ccb30e40f.png,434,145,45,58,512,512
8dfadaff6e9f7a8bdb2484c167a3a409.png,427,140,40,44,512,512
7ad4a4762590d9520e8ba27f163cd844.png,89,90,34,48,512,512
a912b671b6b709fe825fe8007eabffd8.png,397,230,17,23,512,512
e21ce9844455e8152bb3f275406508a8.png,24,224,21,19,512,512
9279bb50d13bb381251dc7c361963cda.png,435,170,44,54,512,512
9e661e39e85ed6b95adfc7ae427dd8bb.png,59,331,56,44,512,512
31e58ca4143ad817f9b64283f5e821f6.png,283,33,17,24,512,512
901b84f68b5adfdb82b99c07ec9386ff.png,436,195,22,17,512,512
e8daefb224f57b8fefcc0a5d96802218.png,292,62,50,45,500,500
fd0a102d4d2b08eab39754fee67048cd.png,320,48,23,30,512,512
fcbda047f6ba65545d48643456c4cf57.png,101,202,25,26,512,512
23f8d360b7387912e843d626e4e7467a.png,446,117,33,47,512,512
8b69f7c0fffc404634520d3ec68af53b.png,65,326,24,28,480,480
9d9b6714fbb9978344789cbd115f8877.png,261,83,34,40,512,512
d12fc63812a3323007601b3feff70840.png,22,287,23,28,512,512
97b01860044028284d2ef00738971639.png,94,290,27,32,512,512
1504503d69530ff07ac4e409cef292ca.png,196,387,26,31,512,512
7dc35995062b30c84a261506be55ecf3.png,403,219,17,19,512,512
dc8e1a0234384427c81587e0cfa2a405.png,96,119,29,38,512,512
38586bb0a02c514ca4c3f7a9f4ea8e24.png,386,168,27,34,512,512
214c0a30865d78ed407f2adc0c0a37fa.png,82,318,21,28,512,512
39c8c56ec2e2e4df071be56337ccb624.png,95,199,30,41,512,512
17b522046f18e332a9627263cfd6fe8c.png,414,189,22,28,512,512
fb4bdc66b8e715dc8117757617d17528.png,446,179,24,33,512,512
aed8f148d14ba4e72c8ac36781ffbbc4.png,435,188,17,19,512,512
e24bf4c689cf686626eaca6a2faffe91.png,132,51,51,53,512,512
c419d2e1656a57f8616070605700fc5a.png,465,124,28,36,512,512
10072fd23cf389f887b5ac46449e4b63.png,471,118,22,32,512,512
39b9540019b34f264ce088564080e8dc.png,170,46,34,52,512,512
a83cf417b4d879b6c68da690b62cd028.png,99,305,22,30,512,512
042889aad77a7f4e32fc7f00221348e8.png,37,154,19,22,490,490
22d803a76565bab06629326d33851d5c.png,64,177,36,51,512,512
ccdb39e4417f9f5ff6e47f6faeb7812b.png,120,79,36,46,512,512
b68c27b68c133ef75100726c7dd5ace2.png,58,197,44,54,512,512
a793ca51585d5f8f5932118e8b49305a.png,419,262,22,28,512,512
6f3464cbab80ba6ad0726ff1b0eebb05.png,75,109,23,31,480,480
b6d38360c416784d8e2401b5b610b4bb.png,456,110,28,45,512,512
7a2d4df84bb2ed608b9ec0a1208ab1e9.png,418,103,22,29,512,512
1666f125266eb7019d2618c010853c35.png,437,297,18,23,512,512
8cdcda9fd8546c997d07a239ae3ac5e0.png,36,152,22,27,512,512
5df3ca47adcd2b23f3ee0e300aed4ac0.png,89,194,32,40,486,486
067ac49c8f766f96452c27402d02e995.png,407,398,17,23,512,512
49e345df3bc79a31d4a8a12570623183.png,430,17,19,21,512,512
094ed4f753bcaff64343132e04a065a3.png,399,148,37,47,512,512
e18b9abdcf4c12ef4341002ea14104ad.png,418,220,29,36,512,512
71052ced80cd1b6327eda2b40f42b0b7.png,397,131,20,30,512,512
764f4e8d86e8a2fbdaa538b710e4ae20.png,36,358,20,34,512,512
454c29edce37db3b7468149e98dd6e3a.png,386,412,27,38,512,512
f1b850df8ec680df30d65bf3744dfd0c.png,450,175,27,30,512,512
33474756ffbffa590db81d37eec47a89.png,391,87,17,22,512,512
272cca84587edc62bfd35bba17160236.png,272,54,34,50,512,512
2a912835030e7d96092e8f73ca7d1d1e.png,208,384,48,63,512,512
d4c57b95811b56c4ae7966fca1120659.png,399,182,21,27,512,512
e979fe61c5e446c8fa8258f638bca53b.png,388,70,32,42,512,512
85703aee4e60da619930c74ae8617841.png,91,59,34,44,512,512
1914eb18d0adb89f4b3202a35e75493a.png,125,417,46,63,512,512
6faddc829cd6dcfc0fb2590e8046d782.png,384,154,18,25,512,512
d0c1a41aab7fbeb48e5f69599fa672a3.png,273,64,59,62,512,512
dae68d1211c6f3c245718643dafc6945.png,304,36,30,36,512,512
8442835661a31b6664d7818e1a4c3a8e.png,389,116,29,44,512,512
1b8b1561ad3713014eaa464d1a67380f.png,87,169,34,46,512,512
899304bf0ceb04e09665e37cbe4bfce1.png,169,53,49,54,512,512
929c90f67a2816ec08fc870c4c7e4697.png,48,189,31,40,512,512
eabfd7a2172896e83dd7e349492b7909.png,384,285,22,27,512,512
8231432531f4b890b9e41341a01a8a2f.png,165,59,36,48,512,512
52c92ad5b78195868c01bfe847ad03d8.png,106,192,20,20,512,512
2708bcbc1f7b7cd253d419264cfda71e.png,53,165,31,49,512,512
e5b44e4cf710a80ed11f93a4e6ee9987.png,52,149,20,22,512,512
eba7c2b45eb7814c71b960cf3422ac81.png,387,273,20,24,512,512
13a1d74cff47d069dcef1abb4036d8e2.png,213,86,19,22,512,512
0c468daece896dc4635c7d704da77fd9.png,76,349,25,36,512,512
714bef9be85b0504a83a36034406b663.png,415,187,24,27,512,512
f59b2f2e5179b4ffbd9a56f565e3ceae.png,204,23,19,22,512,512
a164182668dd123dc2447ec1ec495402.png,385,123,34,45,480,480
1dce954f13988a3d3d6599591bc489b8.png,82,96,18,25,512,512
e1488db0a7228a104d6501c83c96f24e.png,189,392,44,62,512,512
aab7146ee57d51b4f4f43e2d32e0dcfc.png,99,165,21,31,512,512
c609c8b5f16abaf8099431052f9532ae.png,446,309,26,33,495,495
4563b273c601261acbd069a26b23c55d.png,306,79,24,30,512,512
7f58e39e01ea9af8e434b1f732f2836f.png,26,123,53,62,512,512
d550fdfdb1551bc9f25fa759a9bdc755.png,130,455,17,26,512,512
a9287c1891a62eacfcf9a54cde06c93f.png,400,151,42,53,512,512
e21bb117f9c75a6b294594f2f5e1386f.png,19,142,27,29,512,512
c33eb270923cecf369096eac335bbbbd.png,399,85,42,56,512,512
74cc90fd9e701cd9d74a785960895082.png,23,49,39,47,512,512
3f817a2a58e4c1951044aaa1589e39b6.png,89,96,30,46,512,512
dcd24c68e8714796782114b472bc1129.png,428,257,31,41,512,512
186af08234bf868cd1a4ab8cdca20b1a.png,448,331,38,44,512,512
aec7c844d5baede4871e754d9b7e3206.png,16,336,37,39,512,512
c5515806b56e2f1d98633cdc78775610.png,426,127,52,62,512,512
e635c21e4ad39cf62b842c2900021a36.png,18,188,51,47,512,512
899dc1f3847ab12c45699ba227cb671b.png,397,306,48,49,512,512
aea02235abf670f81014c5aeda4d6428.png,392,72,41,57,500,500
6fb3d4acd9fc8046633b93dca6815a37.png,87,35,44,60,512,512
41c2b4762c05e419e170aed17246b61d.png,26,189,17,22,512,512
bc83a8e03e0475875b54fc055dd06f11.png,32,126,20,24,484,484
4b82727e8aee91b0d4fe06678a0f85b9.png,89,157,23,28,512,512
cff608f844b4ef16a12de04db42b1d57.png,22,189,18,23,512,512
2bad033a004e2964a47add0962e557df.png,427,164,49,62,512,512
5b402183a3f4f70bf6272e430a3bbd1c.png,308,35,44,57,512,512
c580288c20922e195fdc27b74d4b090f.png,87,264,18,24,512,512
84e62f532c5fc86e86b0727f4dd1d67d.png,52,106,27,27,512,512
2bf31779d45daf946dd85910da833de6.png,56,327,31,38,512,512
5f52bbc2cdc61c14c43ed8a252097d66.png,402,209,22,27,512,512
47b52f01dad23c8bd8c0e52019fd426e.png,402,183,37,49,512,512
9d58a1ce704d96918388861e8b373fc6.png,22,30,43,59,512,512
567527c570aa7c5c69056f382ff04662.png,50,206,17,20,484,484
fb1944540063a244b4ab837f8e722fde.png,85,36,37,41,512,512
19a1fcfdecee781cc3a4c6b264820f12.png,286,91,27,32,510,510
3151d3dd286fb37b8e5365b2b57393d7.png,406,183,34,41,512,512
b4a1acf149238e995c5d945ab11a9b38.png,452,156,39,60,512,512
3c23a040fb06bf51d0be57424bc264fa.png,449,177,18,23,512,512
04002be46e858ceb96f8bf467c23633e.png,46,324,16,23,512,512
17a10dd32bb13b8139140aec08f68ae4.png,87,199,18,24,512,512
447482dd631b754b6c4a591ac700239f.png,159,39,38,44,512,512
0cea321163d3c31ce8a82b091e1e300c.png,418,121,47,51,512,512
ef859d4352e6ba2eee9dfd0fbd26bc94.png,147,59,40,63,512,512
0da509b05b9d74bb8a90abed6ab22a2a.png,56,141,43,51,482,482
d40f83225f04dd898d06f7982277b0af.png,55,174,35,49,512,512
876b693b943c2da2d4fa0316883ec5f2.png,80,182,32,40,512,512
2ea0040ff9fef1d37e7feaebf6b39018.png,256,26,41,56,512,512
da38445a2a61008d6795ba64df09c2e3.png,29,172,21,28,512,512
6f9dd9662855e1e48d199219e4726eec.png,415,36,49,62,512,512
b1c385064abd5b38cdd370470a26dacf.png,94,55,52,57,512,512
2c650951204563451299d16b4fdba0af.png,107,323,21,29,512,512
2517081038d178ce5c2ee2dff008e1e4.png,395,210,39,44,512,512
a4fc1083fc9fc66de002a661c01c941f.png,104,136,21,27,512,512
2c4f968174860694389932bba1accffd.png,35,228,25,25,512,512
24e3c78b06da5f75bd5f80cb7e4794db.png,385,88,37,43,512,512
83201aac05e056df293051bfcce9b211.png,425,167,20,28,512,512
51786cadf119dc4889281564d9e14ca1.png,427,178,22,25,512,512
f5ad0d29f6448a95d30657219e0331c3.png,419,294,24,32,500,500
7ef7d435df5f29d1431def390947d809.png,390,92,44,50,512,512
422147d8113b4f83f62987a5dc4372dc.png,380,175,31,45,480,480
3e4a600677532253bc28a8c88cd860aa.png,265,45,51,49,512,512
67a24fe9af7fd9ea5628a44821938c55.png,175,44,43,61,512,512
332d418589f85219c2dd1c6e1540109a.png,330,26,25,33,512,512
29d492c714576cc8e0ef431e82035702.png,100,173,28,39,512,512
89729486844bee666327feb3621b1ca2.png,392,295,28,28,512,512
c6f82b9841afbbf3e2a92c9b159476ee.png,319,60,27,36,512,512
397e65b5f3ac91881177ba604675443e.png,391,106,42,60,504,504
8b4c39bda80ee9f27e7203adb061494a.png,313,65,35,43,512,512
13f9ea03a1ed42bac64c9e4acd887bf0.png,449,107,24,31,512,512
1c5cf553fa5614b66b35abeb9a3622d0.png,387,118,41,59,512,512
75c934f42a1327674bedd05dffede1dc.png,171,84,26,33,512,512
4f5cb54d90b113150a18ead6250a9268.png,431,148,16,19,512,512
252c35b16a1158ad1b12c7ff64897c26.png,386,323,38,47,512,512
5e1a86df45da949244e6cc0be9851f39.png,21,197,34,33,512,512
3db01b62f511e0a64284af2069cd9687.png,189,25,43,60,512,512
f5ed852dacd93a009e0d53c47d920d57.png,335,60,28,33,500,500
cd21369a34f9ce5140a11400c8f288e5.png,393,118,28,37,512,512
bbea746979eec40099c5f470a794b93e.png,183,79,36,47,512,512
57c92bf785c684bf13acca3c3b43512c.png,376,93,23,28,512,512
a7e2cf7e341aad5fe93bce6d1da3f256.png,469,138,18,25,512,512
b215c2537560cf1cd1826a250a4ea665.png,190,76,33,44,480,480
f02394ba81b28b94a05032416ac32758.png,384,206,38,46,512,512
242d984ff1e305be407177a861ceed6a.png,394,173,32,42,512,512
b5d51d4f4259a1913948ac49ce4ab6cd.png,438,105,35,50,512,512
fbde8ef01ef113628bdcda3d4cadbee0.png,30,168,33,45,480,480
596703027ed6384fb3e6a0de88056735.png,163,19,40,44,512,512
eb371d581e0c12033ca7e6df262029a2.png,61,181,30,38,512,512
604e9cedafb84787f3dbb102214b0af4.png,91,218,18,20,512,512
4a68ef3ecad24e70fdde17ee6cad6eb5.png,389,261,21,26,512,512
e64ffa01f92b10a9a32fdbb9a06c981d.png,458,152,27,34,512,512
40afd8cb614cfa270b62a7a1298d894b.png,336,24,43,42,512,512
d9e296e0f3e6a5c5e8e813e349010b17.png,388,206,23,25,512,512
dab2d68442ed7f66a81d5033be718923.png,396,133,43,55,512,512
006e1ff97da51e3fe04f8a58c6a54ad7.png,66,275,26,29,512,512
1bae39441e48bc85bdb8313e45bf3ed5.png,24,373,38,41,512,512
15f956434632672ef625c60905067ec2.png,76,115,28,33,512,512
ef9f41f6d09d497f6e7bf17630fbfa29.png,408,35,16,20,512,512
60844b53fbba7937160c145286e99fbd.png,84,190,39,43,512,512
399b497dbc5b06b52e2a41984efa08c7.png,93,181,24,30,512,512
b4785ea5d1781f9537385fdb5d3d502f.png,295,51,19,29,512,512
0b69ff3eebc942fe4dd578b676677922.png,440,140,22,34,512,512
319c219585e62212f58794616a3f82f7.png,384,109,33,42,512,512
2b0ca28ea3e299f9ded7df38dbfab8ad.png,291,76,36,47,512,512
07e52db5753c98ceea7269f10c823165.png,332,67,43,54,512,512
c63aa5cd5d15f9e17d1593cc9226bb12.png,153,86,35,38,512,512
b43bca02c67d82b25d4994c8c2c735d9.png,391,106,30,35,480,480
9465f2508d4de658da0f84d3e77b7a05.png,457,127,33,43,512,512
517ef8d28cd3b69fa44ed05df1972ebf.png,54,267,51,64,512,512
8403565fb4be8d39232ef88c74674d37.png,382,51,37,44,512,512
69bf8ac3a645f687181abe6b27ff0751.png,103,258,24,34,512,512
a1e0d735843787fcc0a9ddd4ca673532.png,184,66,32,41,512,512
1d0cb5eec8cedfe04aecfc967c6367d0.png,155,35,22,30,512,512
b88e06bf367402e6d8e85ac45a1b6615.png,262,47,24,28,512,512
edd8f3ce259d865b2a067d712c71ceec.png,172,55,43,55,512,512
ec6307ae808b32e2a854a71a4a8e3100.png,460,229,18,21,512,512
48e61c3d96f128d34634ffecd0177c6b.png,396,161,17,19,512,512
b62875fd799e03fb4d647bb1616cd64b.png,52,184,41,45,512,512
fe8725d4233ec1a69cd49afa649c7ffe.png,69,87,45,54,512,512
2118637450ff0c0b0c715462b6b261f4.png,93,316,34,46,512,512
f8cfcd2c1ca2d0a15f9b63afb0c611cc.png,85,185,28,24,480,480
3f6ddd991c07690f1d36130f64e0e740.png,269,46,43,51,512,512
b8838af9d2e04f6511fd9975356e3a75.png,24,180,20,29,512,512
cf9fff6af90cf0fb84e913326aead1e5.png,392,167,36,44,512,512
987327cc5bb330b3fdabfb525874829c.png,441,268,27,33,512,512
f9655efec73db6c43b524e54aee71d13.png,441,79,35,38,512,512
020d3960e392658ea1d51a2e4f47f916.png,127,53,49,50,512,512
c8bc814d3f7264c9fa6c29d880423acd.png,176,50,49,62,512,512
d391298e3666d20ed413f042d75d97e1.png,266,73,35,47,512,512
f4f2d197d031828935653ebb477b9bd0.png,186,18,46,62,512,512
a25164850d248b83f2fd84bcf18ab3d2.png,137,70,40,55,512,512
49c53d5933bf4488eb4354b149c1a250.png,404,314,35,44,512,512
ac1247ea1958b6bf62ed3f65e0033184.png,393,362,23,31,512,512
9441e1393693dd69bac64abfbd5a7112.png,78,206,23,27,512,512
18b102fff11120b7fdb44e799b635755.png,397,199,25,32,512,512
1a46a0b0be5e7612aae5d218cd30cd02.png,169,80,17,23,512,512
7894b57e001913689ee92c14518f61c5.png,139,24,49,63,512,512
10b4e0553f0d88e787e3b7c8b6db1d1e.png,77,212,27,36,512,512
84f85a4195864f951b82ac1e19f99ced.png,94,165,16,23,480,480
ad65b821de20adfeca222517036c9b3a.png,78,210,37,43,512,512
e7d5fc5dbd8a0f10b3e0b9fd8b507864.png,218,23,29,39,512,512
a345fb6d6880b9ab40dde83531e003a2.png,77,95,31,42,512,512
d7586a81dfecfdb14217b0fc7219ef9d.png,224,465,21,31,512,512
1a3a0ea831240098ce069c89db2493a1.png,22,442,54,54,512,512
9a96091a83675d671375a9937aea3cfe.png,101,199,25,30,512,512
d842dd751ed43d10055221592519e0f3.png,281,391,19,22,512,512
78ed9d3e7b7b415b6a0ef631c0fb9828.png,80,172,36,40,512,512
ef0aaaf72494ea448cd664ae07f85098.png,409,266,18,25,512,512
8328354904f69ce90e1199321ec45560.png,398,272,17,23,512,512
526d1b42ff8e0d5a762cc1fb751a1571.png,448,354,32,40,512,512
3e7866baa434d2e3a5dab258b06015d2.png,213,90,23,31,512,512
92548cdb9d92c251bdba9d3c0cf63481.png,32,139,27,32,512,512
102c4a0e49a2bbeeec3499f204e9080f.png,176,40,26,29,290,290
d55d6b4dc135cd2be1fa80976e07e192.png,402,101,46,56,512,512
9d8746c2200eadc409698a2b1426a08c.png,451,300,36,49,512,512
8394cb8cb878d8691d5b7988f035879a.png,141,49,31,43,512,512
08ecb87c787c4996469fcec76a0ab264.png,394,99,40,45,512,512
2b89e4ff21797d4b92d10880ba903a64.png,414,124,17,24,500,500
23d7e3c6985dfb4968b99904dacbee0d.png,56,34,24,31,512,512
